source_user,recommended_user,score
Melika_HJLI,khodamam_El,10
Melika_HJLI,Qu_Vashti,3
Melika_HJLI,shiriinrahmani,3
khodamam_El,Mahdi_runner,3
Ali_reza5acm14,AhleBeytMedia,10
Sleep_inYourHug,btslovely743,7
Sleep_inYourHug,DarkRed_87,3
Sleep_inYourHug,jjkuromiiii,3
paradise_exo_l1,JD_negin,5
paradise_exo_l1,arghanoon_1481,4
paradise_exo_l1,tupdurum,4
paradise_exo_l1,BBHLOOK__,3
WhatTheFuck__h,mey13sam,10
APasserby12,AmirTaheri4,9
alisham94118149,DavariAbdolreza,7
alisham94118149,aalchaa,3
mollah,Alhadath_Brk,3
AkbarossadatN,abbas12523,10
peergharmaseed,DewaNiazai,10
__princejm,iiichiggo,10
__princejm,nikkilovespiss,10
__princejm,kamousk,10
iiichiggo,nikkilovespiss,10
iiichiggo,kamousk,10
MohsinRai1,ZainSafeer12,3
MohsinRai1,ikview,3
godfather_sb,oneminmore,5
godfather_sb,fatemem99,5
layaaBBZ,Moonlight_m95,10
vanitarmart,kouyarH,5
vanitarmart,hosseyn1988,5
Amirniistam,DarkmoonAs,3
hienagey,IAM4ryn,7
hienagey,sentfromJuly,5
hienagey,Amirniistam,4
hienagey,hienagey,3
CHERRYTHVK,kvfly7,10
CHERRYTHVK,BABJM1995,10
kvfly7,BABJM1995,10
Sm611690,emiilyworld,6
Sm611690,bozorgagha1234,4
bozorgagha1234,mehrmah60,5
bozorgagha1234,melancholyaida,5
bozorgagha1234,yekshahrivari,5
bozorgagha1234,raminnnn,3
bozorgagha1234,MZahra90216933,3
AmirDaliri6,m_pooyafard,10
AmirDaliri6,Entekhab_News,4
m_pooyafard,Tasnimnews_Fa,3
aliahad22245,Mojtabapacino,10
aliahad22245,hosseyn1988,10
Mojtabapacino,hosseyn1988,10
Haami80,PahlaviReza,6
Haami80,maroofian_n,4
Haami80,RMasool,4
maroofian_n,RMasool,10
emad8502,Erfan_kabiri80,10
AliKhosravani7,Entekhab_News,4
maedehmnsorian,Fergal_21,5
maedehmnsorian,ltz_amir,4
maedehmnsorian,abolfazl0916,4
Fergal_21,abolfazl0916,8
Zahra13458,fatemeh131091,10
homaydard,Tasnimnews_Fa,6
homaydard,ManotoNews,4
Salsabil_IR1,MhmdRnany,10
Salsabil_IR1,mahbarzegar,4
Salsabil_IR1,sh0wbair_1089,3
Salsabil_IR1,vahidhajipour1,3
MhmdRnany,JHozori,5
MhmdRnany,Cherry__Cherr,3
Ael9yLwzpWant7h,Ahmadaljaralah,10
hemad18969,thebabak1,5
hemad18969,Banafshehviola,3
blackbo80731790,tanha1358,6
blackbo80731790,morafaholvokala,4
whitesandblac,borhaneghate_m,4
whitesandblac,DavariAbdolreza,4
whitesandblac,indypersian,4
shahriar9199,samin1374_,10
HoseinV378,r__rezvan,10
cutieofgd,NOIDEA5678,4
cutieofgd,Sahrashahi,4
cutieofgd,bameshishere,4
cutieofgd,edbaar98,4
Sahrashahi,bameshishere,10
Sahrashahi,edbaar98,10
roheemastnist,doostehajikhan,10
roheemastnist,aminaktrader1,6
roheemastnist,AdamJensen2021,4
roheemastnist,_theperished,3
doostehajikhan,AdamJensen2021,8
doostehajikhan,aminaktrader1,5
doostehajikhan,_theperished,3
doostehajikhan,CapnHghar,3
doostehajikhan,Abbas_firebird,3
smaminmosavi,IrTimes,3
IsraelPersian,yzarka,4
IsraelPersian,ronzheimer,3
solilati,EkraniSam,10
solilati,ab_ganji,6
solilati,hosseindehbashi,4
EkraniSam,ab_ganji,7
EkraniSam,hosseindehbashi,3
lawaashak3301,baahaaraar,6
lawaashak3301,_saramim,5
lawaashak3301,Mahno0osh,5
lawaashak3301,nesf_a,4
Cataton3,Sogolismenow,6
Cataton3,narges_babaei,6
Cataton3,AtiyeShafiei,4
HazaraBakul,DhkryJwya,8
HazaraBakul,But_Bameyan,8
HazaraBakul,FirouziTakee,8
DhkryJwya,But_Bameyan,10
DhkryJwya,FirouziTakee,10
DhkryJwya,RezaV43209,8
tafardasob,pink_morphine73,10
AriyaVatanpour,Ivar_lathbrug2,6
alizapata1355,Sadena_65,10
alizapata1355,sammirzaei_,5
alizapata1355,minionmaker22,4
alizapata1355,Ali_pirayesh1,3
Sadena_65,sammirzaei_,6
Sadena_65,Crypt0RedFox,3
Sadena_65,mostafa_QM,3
Sadena_65,_shookhtarin,3
AloneAngle20,i_am__sarah,4
AloneAngle20,IDFFarsi,3
mamoshmamoshkh,biineeshaan,5
mamoshmamoshkh,BluGelsomino,4
Iranian_lions,mamadporii,10
Iranian_lions,n_roettgen,4
mamadporii,n_roettgen,5
mamadporii,JZarif,3
Alimohammad_mn,biglebowski1994,7
Alimohammad_mn,s_m_marandi,3
FrydK22913,LotusRashidi,10
FrydK22913,Amre_as_,10
LotusRashidi,Amre_as_,10
zeynab_78,EbneHava,10
EbneHava,IsraelPersian,3
EbneHava,alikarimi_ak8,3
mohamaaaaadR,F_karamizand,4
mohamaaaaadR,taaher113,4
allamehmadjlesi,haj_komeil,3
allamehmadjlesi,a_1874ba,3
moniruravanipou,yashar,6
moniruravanipou,bbcpersian,3
FirishTheBrave,Avaliran1,10
FirishTheBrave,lexi__princess,6
FirishTheBrave,EbneHava,4
FirishTheBrave,Hollaandi,3
FirishTheBrave,nasrinraj,3
Avaliran1,EbneHava,6
Avaliran1,lexi__princess,4
Avaliran1,nasrinraj,3
brownigaz,rezaivxx__,8
brownigaz,Elenamajidi,4
javadtgh73,hojjat_mohebbi,5
javadtgh73,mahvin_b1984,5
javadtgh73,alireza48466967,5
javadtgh73,fatemeh_sa55852,3
javadtgh73,itsnikou,3
javadtgh73,deldaresham,3
fatemeh_sa55852,seyedMuostafa,4
fatemeh_sa55852,amoalii_ir,3
Littlehazelnutt,_Cinemagraph_,10
Littlehazelnutt,RealEmirHan,10
_Cinemagraph_,RealEmirHan,10
FatimaK2025k,Hopmin4me,4
FatimaK2025k,iamoonchildd,4
Hopmin4me,Setayes99273149,4
Hopmin4me,KimBunny2025,4
Hopmin4me,BrokenLinnea,4
hosseinkeneti,MahdiiAsi,10
Yegan_oned_,captainass70,16
Yegan_oned_,Yegan_oned_,6
Yegan_oned_,towmycuts,4
Yegan_oned_,njm_fm,4
captainass70,Yegan_oned_,10
captainass70,captainass70,6
captainass70,towmycuts,6
captainass70,njm_fm,4
Sina_Evaz,rajavi_m1,10
mehradAshtiani,Haaniikh,5
mehradAshtiani,______pew_pew,5
mehradAshtiani,capttainsarah,3
capttainsarah,Mmd_hosseein,4
capttainsarah,temejoon,3
capttainsarah,IlkhanuS,3
alinaghi2018,RenzoGraciani,4
alinaghi2018,VOAfarsi,3
khoshnevisnaser,Tavaana,10
golakouo,Exceptorant,4
golakouo,foodlazem,4
golakouo,Free_Woman_R,3
jog29h5UJAbGjTd,EbneHava,10
jog29h5UJAbGjTd,Golzarfar,3
8o45daqiqe,The_Pesar,6
8o45daqiqe,montazer_zohur,4
8o45daqiqe,roushenas,3
8o45daqiqe,rezashamsa,3
Yaghoub_313,ARKheirollahi,3
Yaghoub_313,SsPadam3,3
Yaghoub_313,lieaEbony,3
emadeddinbaghi,abdolah_abdi,10
emadeddinbaghi,SamiraGharaei,10
rahiiil_97,yas4748,4
rahiiil_97,Oscar_pilot313,3
alwayshasbeen9,khokhlakof,10
alwayshasbeen9,RahaBahreini,3
alwayshasbeen9,IranIntl,3
khokhlakof,Wander1Mystical,4
Erfan57308693,dr_oncherama,3
Erfan57308693,milad_stry,3
Erfan57308693,reza_twt01,3
reza_twt01,japanstudies_ir,4
reza_twt01,Ryogo_Urata,4
reza_twt01,portakani,3
reza_twt01,_Mahdiyar313,3
faezehabdipour,MaryamMoqaddam,11
faezehabdipour,vanitarmart,6
faezehabdipour,shokrani_maryam,4
faezehabdipour,PejmanMousavi,3
MaryamMoqaddam,shokrani_maryam,5
MaryamMoqaddam,vanitarmart,5
MaryamMoqaddam,PejmanMousavi,4
MaryamMoqaddam,hnamakdoost,4
_n4aso_,AliKhanjani18,4
_n4aso_,ardin_rad,3
Mortezashimpil,girlwhoisnotdaf,7
Mortezashimpil,MilanMelika,7
Mortezashimpil,boredd__girll,3
HamedHadidian,MMoridnejad,10
ugly_nature,melomaniac420,10
zmrym_5000,s_mdr64,5
zmrym_5000,AfsanhKafy2032,5
zmrym_5000,Khorschid_T,3
mayar_hanan,daichopanazmo,10
bibi_pik,missmisha80,10
RobotN_1,m_pooyafard,3
arad75111,JhnmyMlkh,10
arad75111,dragonerdx,10
arad75111,shahrashob24,5
arad75111,ayhhhan,5
JhnmyMlkh,dragonerdx,10
JhnmyMlkh,ayhhhan,8
km6071,reihan_msv,10
aniya__1998,Philip_Morris_b,5
aniya__1998,ali46damashi,5
aniya__1998,ayda52882923423,4
aniya__1998,shooresh1374,3
icrusty7,IamPROOF13,10
paraas2,Aliparvar636797,14
paraas2,MrsBirmingham1,5
paraas2,paraas2,3
Aliparvar636797,MrsBirmingham1,6
Aliparvar636797,na_neveshte,3
