source,target,weight
tiffany7twisted,tiffany7twisted,1
Melika_HJLI,khodamam_El,1
Ali_reza5acm14,AhleBeytMedia,1
Sleep_inYourHug,DarkRed_87,1
IMbeatreas,PahlaviReza,1
paradise_exo_l1,JD_negin,1
WhatTheFuck__h,mey13sam,1
APasserby12,AmirTaheri4,19
alisham94118149,mollah,1
AkbarossadatN,abbas12523,1
peergharmaseed,DewaNiazai,1
__princejm,iiichiggo,1
MohsinRai1,shaleem9,1
godfather_sb,yeganeh_9,1
layaaBBZ,Moonlight_m95,1
vanitarmart,alijaneton,1
Amirniistam,hienagey,1
AllhMhb45492,AllhMhb45492,1
CHERRYTHVK,kvfly7,1
Sm611690,bozorgagha1234,1
AmirDaliri6,m_pooyafard,1
aliahad22245,Mojtabapacino,1
Haami80,maroofian_n,1
emad8502,Erfan_kabiri80,1
AliKhosravani7,hamshahrinews,1
_G6PD,DrSoheilAzimi,1
maedehmnsorian,Fergal_21,1
Zahra13458,fatemeh131091,1
V0aIvaSV3t92wcG,sardaran_i,1
homaydard,Tasnimnews_Fa,1
Salsabil_IR1,MhmdRnany,1
Ael9yLwzpWant7h,Ahmadaljaralah,1
hemad18969,thebabak1,1
blackbo80731790,morafaholvokala,1
shokhmatic,shokhmatic,1
whitesandblac,indypersian,1
shahriar9199,samin1374_,1
HoseinV378,r__rezvan,1
cutieofgd,Sahrashahi,1
roheemastnist,doostehajikhan,1
Babygoat_Aunt,Babygoat_Aunt,1
smaminmosavi,IsraelPersian,1
ForfreeIran2022,ForfreeIran2022,1
solilati,EkraniSam,1
lawaashak3301,nesf_a,1
Cataton3,AtiyeShafiei,1
HazaraBakul,DhkryJwya,1
tafardasob,pink_morphine73,1
YasiPatriot,AriyaVatanpour,1
alizapata1355,Sadena_65,1
pir_e_khereft,pir_e_khereft,1
AloneAngle20,euronews_pe,1
mamoshmamoshkh,biineeshaan,1
Iranian_lions,mamadporii,1
Alimohammad_mn,biglebowski1994,1
parisamotlaq,parisamotlaq,1
FrydK22913,LotusRashidi,1
zeynab_78,EbneHava,1
mohamaaaaadR,allamehmadjlesi,1
moniruravanipou,bbcpersian,1
FirishTheBrave,Avaliran1,1
brownigaz,Elenamajidi,1
javadtgh73,fatemeh_sa55852,1
